"elevation","occ","ph20","slope","wetness_index","X","Y","mg"
1580,15,52,3,100,34.8547366188645,0.269368386573565,283
1475,13,54,2,108,34.7109866190945,0.267285053243565,183
1363,11,54,4,104,34.6130699525846,0.265201719913565,179
1625,16,55,2,100,34.9401532853944,0.265201719913565,251
1297,11,56,3,101,34.4943199527746,0.263118386583565,198
1396,14,55,4,101,34.6547366191846,0.261035053253565,186
1625,16,55,2,100,34.9443199520544,0.261035053253565,246
1258,8,54,5,103,34.4047366195847,0.254785053263565,189
1258,8,54,5,103,34.4068199529147,0.254785053263565,178
1359,12,54,4,101,34.5609866193346,0.254785053263565,166
1605,20,54,6,96,34.9318199520744,0.254785053263565,230
1504,15,56,5,103,34.7651532856745,0.252701719933565,195
1391,13,54,4,96,34.5401532860346,0.250618386603565,189
1317,12,58,4,97,34.4880699527846,0.248535053273565,211
1404,12,54,3,103,34.5818199526346,0.248535053273565,170
1335,10,56,2,100,34.4651532861546,0.244368386613565,183
1598,16,49,3,98,34.8693199521745,0.244368386613565,227
1299,12,55,6,100,34.4234866195547,0.242285053283565,206
1350,14,58,6,96,34.4922366194446,0.240201719953565,207
1400,12,54,5,103,34.5234866193946,0.240201719953565,216
1443,12,55,2,105,34.6714032858245,0.240201719953565,168
1329,12,56,2,98,34.4630699528246,0.238118386623565,198
1350,14,58,6,96,34.4943199527746,0.238118386623565,204
1399,16,54,4,101,34.5776532859746,0.238118386623565,186
1404,16,55,5,104,34.5818199526346,0.236035053293565,184
1394,12,56,2,110,34.5255699527246,0.231868386633565,204
1280,10,55,3,103,34.4068199529147,0.223535053313565,166
1362,12,56,3,105,34.4714032861446,0.223535053313565,210
1540,15,54,2,98,34.7255699524045,0.223535053313565,163
1558,17,53,4,99,34.8318199522345,0.223535053313565,182
1460,19,56,8,96,34.6672366191645,0.219368386653565,194
1548,18,54,5,99,34.7818199523145,0.217285053323565,194
1394,16,55,4,103,34.5776532859746,0.211035053333565,184
1295,10,56,4,103,34.4026532862547,0.208951720003565,169
1519,15,54,2,97,34.7130699524245,0.208951720003565,174
1497,14,53,3,98,34.8401532855545,0.208951720003565,216
1323,10,57,2,102,34.4630699528246,0.206868386673565,162
1553,21,52,5,98,34.8568199521945,0.206868386673565,300
1336,11,55,4,98,34.4922366194446,0.200618386683565,198
1506,16,53,8,95,34.8401532855545,0.200618386683565,230
1497,16,55,3,100,34.7089032857645,0.198535053353565,187
